,省份,城市,河流,流域,断面名称,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸盐指数,高锰酸盐类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
2020-11-15 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.8,8.18,-,12.1,-,1.1,-,0.106,-,0.104,2.2,602.0,3.8,-2.0,-2.0,正常
2020-11-15 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.6,7.61,-,5.85,-,1.12,-,0.053,-,0.08,1.96,615.0,2.7,-2.0,-2.0,正常
2020-11-16 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,18.2,7.4,-,3.71,-,1.13,-,0.075,-,0.088,2.25,635.0,2.8,-2.0,-2.0,正常
2020-11-16 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.9,7.41,-,3.97,-,1.36,-,0.179,-,0.106,2.96,625.0,3.2,-2.0,-2.0,正常
2020-11-16 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.8,7.48,-,4.79,-,1.19,-,0.131,-,0.102,2.59,620.0,3.0,-2.0,-2.0,正常
2020-11-16 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.3,7.65,-,7.58,-,1.14,-,0.091,-,0.088,2.36,620.0,2.9,-2.0,-2.0,正常
2020-11-16 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,18.8,7.88,-,10.31,-,1.14,-,0.063,-,0.083,2.21,623.0,2.9,-2.0,-2.0,正常
2020-11-16 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.5,7.58,-,5.9,-,1.2,-,0.062,-,0.088,2.38,623.0,3.4,-2.0,-2.0,正常
2020-11-17 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.5,7.52,-,5.14,-,1.17,-,0.091,-,0.093,2.51,624.0,3.2,-2.0,-2.0,正常
2020-11-17 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.5,7.45,-,4.29,-,1.24,-,0.107,-,0.096,2.66,628.0,3.1,-2.0,-2.0,正常
2020-11-17 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,17.3,7.52,-,5.12,-,1.44,-,0.147,-,0.103,2.86,623.0,3.2,-2.0,-2.0,正常
2020-11-17 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,19.3,7.83,-,9.4,-,1.25,-,0.11,-,0.098,2.69,616.0,4.0,-2.0,-2.0,正常
2020-11-17 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.5,8.38,-,11.85,-,2.83,-,0.06,-,0.093,1.68,603.0,4.5,-2.0,-2.0,正常
2020-11-17 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,18.0,7.58,-,4.47,-,1.42,-,0.067,-,0.083,8.74,628.0,3.2,-2.0,-2.0,正常
2020-11-18 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,16.8,7.64,-,5.07,-,1.2,-,0.059,-,0.075,2.37,614.0,2.7,-2.0,-2.0,正常
2020-11-18 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,16.5,7.55,-,4.4,-,1.2,-,0.059,-,0.075,2.37,623.0,3.2,-2.0,-2.0,正常
2020-11-18 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,16.5,7.59,-,4.8,-,1.3,-,0.108,-,0.09,2.78,619.0,3.1,-2.0,-2.0,正常
2020-11-18 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.9,7.91,-,9.33,-,1.27,-,0.083,-,0.083,2.67,627.0,3.3,-2.0,-2.0,正常
2020-11-18 16:00:00,,,,,,,,,,,,,,,,,,,,,,
2020-11-18 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,18.2,7.68,-,4.8,-,1.38,-,0.061,-,0.086,4.0,622.0,2.4,-2.0,-2.0,正常
2020-11-19 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.6,7.51,-,3.18,-,1.4,-,0.182,-,0.106,3.23,643.0,2.7,-2.0,-2.0,正常
2020-11-19 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.2,7.58,-,3.48,-,1.4,-,0.182,-,0.106,3.23,640.0,3.1,-2.0,-2.0,正常
2020-11-19 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.2,7.65,-,4.26,-,1.39,-,0.153,-,0.102,3.1,637.0,3.2,-2.0,-2.0,正常
2020-11-19 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.6,8.05,-,9.45,-,1.33,-,0.125,-,0.097,3.05,632.0,3.5,-2.0,-2.0,正常
2020-11-19 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,19.8,8.47,-,13.85,-,1.33,-,0.055,-,0.075,2.49,630.0,5.7,-2.0,-2.0,正常
2020-11-19 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.3,7.73,-,5.39,-,1.23,-,0.051,-,0.081,2.7,664.0,2.2,-2.0,-2.0,正常
2020-11-20 00:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,17.7,7.32,-,1.93,-,1.49,-,0.125,-,0.099,3.53,670.0,2.2,-2.0,-2.0,正常
2020-11-20 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,17.2,7.52,-,2.92,-,1.66,-,0.339,-,0.126,3.79,655.0,3.2,-2.0,-2.0,正常
2020-11-20 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,16.8,7.67,-,3.72,-,1.4,-,0.206,-,0.122,3.26,651.0,2.7,-2.0,-2.0,正常
2020-11-20 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,17.7,7.69,-,4.66,-,1.33,-,0.128,-,0.102,3.44,664.0,2.4,-2.0,-2.0,正常
2020-11-20 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,18.8,7.74,-,5.63,-,1.69,-,0.189,-,0.134,3.72,671.0,3.6,-2.0,-2.0,正常
2020-11-20 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.9,7.82,-,5.75,-,1.41,-,0.085,-,0.106,2.8,630.0,3.5,-2.0,-2.0,正常
2020-11-21 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.8,7.73,-,5.14,-,1.52,-,0.093,-,0.111,2.9,624.0,3.8,-2.0,-2.0,正常
2020-11-21 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.4,7.78,-,5.33,-,1.24,-,0.053,-,0.076,2.48,625.0,3.0,-2.0,-2.0,正常
2020-11-21 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,16.2,7.63,-,3.29,-,1.51,-,0.112,-,0.086,3.11,643.0,2.9,-2.0,-2.0,正常
2020-11-21 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,16.2,7.97,-,7.26,-,1.3,-,0.064,-,0.086,2.54,625.0,3.4,-2.0,-2.0,正常
2020-11-21 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,15.6,8.11,-,8.85,-,1.36,-,0.054,-,0.073,2.63,634.0,3.0,-2.0,-2.0,正常
2020-11-21 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,15.6,7.69,-,3.46,-,1.71,-,0.45,-,0.134,3.82,658.0,3.1,-2.0,-2.0,正常
2020-11-22 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,15.4,7.83,-,5.66,-,1.48,-,0.128,-,0.111,2.85,623.0,5.4,-2.0,-2.0,正常
2020-11-22 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,14.7,7.86,-,5.82,-,1.1,-,0.067,-,0.074,2.57,625.0,3.6,-2.0,-2.0,正常
2020-11-22 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,14.1,7.69,-,3.94,-,1.36,-,0.157,-,0.093,3.37,644.0,3.0,-2.0,-2.0,正常
2020-11-22 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,15.0,7.88,-,7.38,-,1.23,-,0.133,-,0.107,3.1,637.0,3.1,-2.0,-2.0,正常
2020-11-22 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,14.3,8.29,-,11.06,-,1.31,-,0.056,-,0.078,2.65,630.0,3.0,-2.0,-2.0,正常
2020-11-22 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,13.7,7.88,-,6.06,-,1.41,-,0.12,-,0.087,3.26,652.0,2.7,-2.0,-2.0,正常
2020-11-23 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.8,7.95,-,6.47,-,1.3,-,0.107,-,0.1,2.93,624.0,5.3,-2.0,-2.0,正常
2020-11-23 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.1,7.9,-,5.8,-,1.38,-,0.112,-,0.1,2.93,633.0,6.6,-2.0,-2.0,正常
2020-11-23 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.2,7.95,-,6.95,-,1.18,-,0.061,-,0.128,2.83,624.0,4.0,-2.0,-2.0,正常
2020-11-23 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,15.5,8.12,-,9.97,-,1.0,-,0.059,-,0.096,2.98,635.0,3.5,-2.0,-2.0,正常
2020-11-23 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,15.3,8.16,-,10.11,-,1.3,-,0.094,-,0.096,3.66,653.0,2.9,-2.0,-2.0,正常
2020-11-23 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,14.3,7.84,-,5.01,-,1.25,-,0.204,-,0.115,4.09,668.0,2.8,-2.0,-2.0,正常
2020-11-24 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,14.0,7.65,-,2.97,-,1.48,-,0.54,-,0.144,4.41,670.0,3.1,-2.0,-2.0,正常
2020-11-24 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.7,7.74,-,4.03,-,2.47,-,0.295,-,0.144,3.93,649.0,9.9,-2.0,-2.0,正常
2020-11-24 08:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,13.3,7.91,-,6.67,-,2.79,-,0.082,-,0.417,3.54,636.0,10.2,-2.0,-2.0,正常
2020-11-24 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,14.4,8.04,-,8.68,-,1.24,-,0.066,-,0.119,3.17,642.0,3.2,-2.0,-2.0,正常
2020-11-24 16:00:00,四川省,德阳市,绵远河,长江流域,八角,劣Ⅴ,15.1,10.89,-,10.09,-,1.32,-,0.071,-,0.105,3.4,10.0,1.2,-2.0,-2.0,正常
2020-11-24 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,14.1,7.79,-,4.0,-,2.57,-,0.367,-,0.306,4.28,665.0,6.8,-2.0,-2.0,正常
2020-11-25 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.4,7.86,-,5.31,-,1.2,-,0.086,-,0.124,3.02,649.0,3.3,-2.0,-2.0,正常
2020-11-25 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.3,7.78,-,4.04,-,1.17,-,0.15,-,0.117,3.44,664.0,3.0,-2.0,-2.0,正常
2020-11-25 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.4,7.65,-,2.62,-,1.44,-,0.445,-,0.133,4.16,679.0,2.8,-2.0,-2.0,正常
2020-11-25 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,15.0,7.76,-,4.5,-,1.52,-,0.361,-,0.147,3.95,679.0,2.7,-2.0,-2.0,正常
2020-11-25 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,15.0,7.85,-,5.64,-,2.49,-,0.176,-,0.307,3.66,675.0,6.6,-2.0,-2.0,正常
2020-11-25 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.8,7.97,-,6.26,-,1.24,-,0.077,-,0.117,2.71,649.0,3.0,-2.0,-2.0,正常
2020-11-26 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.5,7.82,-,4.79,-,1.03,-,0.101,-,0.098,2.88,660.0,2.7,-2.0,-2.0,正常
2020-11-26 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.5,7.71,-,3.05,-,1.35,-,0.253,-,0.121,3.36,674.0,2.7,-2.0,-2.0,正常
2020-11-26 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.5,7.6,-,2.48,-,1.31,-,0.524,-,0.135,3.74,681.0,2.2,-2.0,-2.0,正常
2020-11-26 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.6,7.78,-,5.56,-,1.44,-,0.299,-,0.144,3.73,680.0,2.1,-2.0,-2.0,正常
2020-11-26 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,16.2,8.09,-,9.79,-,1.3,-,0.115,-,0.133,3.36,672.0,2.1,-2.0,-2.0,正常
2020-11-26 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,15.0,7.83,-,4.9,-,1.25,-,0.142,-,0.123,3.42,674.0,2.1,-2.0,-2.0,正常
2020-11-27 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,14.7,7.63,-,2.87,-,1.74,-,0.416,-,0.186,3.7,670.0,4.6,-2.0,-2.0,正常
2020-11-27 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.7,7.78,-,4.59,-,1.1,-,0.116,-,0.107,2.8,649.0,2.5,-2.0,-2.0,正常
2020-11-27 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.4,7.74,-,3.86,-,1.09,-,0.132,-,0.096,3.12,658.0,2.3,-2.0,-2.0,正常
2020-11-27 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,14.4,7.7,-,4.16,-,1.39,-,0.22,-,0.117,3.46,670.0,2.3,-2.0,-2.0,正常
2020-11-27 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,14.9,7.82,-,6.19,-,1.21,-,0.134,-,0.115,3.45,671.0,2.6,-2.0,-2.0,正常
2020-11-27 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,14.1,7.76,-,4.47,-,1.18,-,0.147,-,0.112,3.5,673.0,2.2,-2.0,-2.0,正常
2020-11-28 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,14.0,7.6,-,2.92,-,1.67,-,0.407,-,0.179,3.83,674.0,4.9,-2.0,-2.0,正常
2020-11-28 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.2,7.79,-,5.02,-,1.18,-,0.111,-,0.105,2.89,645.0,3.0,-2.0,-2.0,正常
2020-11-28 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,12.8,7.73,-,4.17,-,1.19,-,0.135,-,0.096,3.3,654.0,2.6,-2.0,-2.0,正常
2020-11-28 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,14.9,7.75,-,5.63,-,1.55,-,0.2,-,0.121,3.88,668.0,2.7,-2.0,-2.0,正常
2020-11-28 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,15.4,7.98,-,9.24,-,1.36,-,0.113,-,0.115,3.58,667.0,2.5,-2.0,-2.0,正常
2020-11-28 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,13.4,7.95,-,6.89,-,1.18,-,0.096,-,0.098,3.04,659.0,2.3,-2.0,-2.0,正常
2020-11-29 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,12.7,7.59,-,3.64,-,2.05,-,0.41,-,0.196,3.81,669.0,7.7,-2.0,-2.0,正常
2020-11-29 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,12.0,7.75,-,4.98,-,1.42,-,0.171,-,0.115,3.08,643.0,3.7,-2.0,-2.0,正常
2020-11-29 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,11.9,7.73,-,5.05,-,1.11,-,0.114,-,0.086,2.88,653.0,3.0,-2.0,-2.0,正常
2020-11-29 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,13.6,7.87,-,7.8,-,1.3,-,0.133,-,0.094,3.07,652.0,2.9,-2.0,-2.0,正常
2020-11-29 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,13.8,7.92,-,7.91,-,1.24,-,0.122,-,0.099,3.2,661.0,2.5,-2.0,-2.0,正常
2020-11-29 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.5,7.77,-,4.14,-,1.21,-,0.136,-,0.098,3.25,666.0,2.4,-2.0,-2.0,正常
2020-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.4,7.42,-,2.35,-,1.51,-,0.536,-,0.141,3.72,679.0,2.6,-2.0,-2.0,正常
2020-11-30 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.3,7.4,-,2.13,-,1.46,-,0.701,-,0.142,3.88,672.0,2.4,-2.0,-2.0,正常
2020-11-30 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.8,7.44,-,2.88,-,1.44,-,0.407,-,0.143,3.7,669.0,2.3,-2.0,-2.0,正常
2020-11-30 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.5,7.81,-,5.49,-,1.34,-,0.148,-,0.12,3.32,664.0,2.4,-2.0,-2.0,正常
2020-11-30 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.4,7.71,-,3.66,-,1.52,-,0.216,-,0.144,3.28,660.0,3.1,-2.0,-2.0,正常
2020-12-01 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,12.5,7.93,-,7.72,-,2.43,-,0.068,-,0.253,2.69,618.0,9.7,-2.0,-2.0,正常
2020-12-01 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅱ,12.4,7.95,-,7.17,-,1.11,-,0.057,-,0.085,2.51,627.0,3.5,-2.0,-2.0,正常
2020-12-01 08:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,12.3,7.75,-,4.7,-,1.32,-,0.14,-,0.09,3.2,645.0,3.2,-2.0,-2.0,正常
2020-12-01 12:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.8,7.74,-,5.16,-,1.62,-,0.208,-,0.112,3.52,669.0,2.8,-2.0,-2.0,正常
2020-12-01 16:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅲ,13.9,7.89,-,7.25,-,1.48,-,0.12,-,0.107,3.35,661.0,2.9,-2.0,-2.0,正常
2020-12-01 20:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅳ,13.5,7.79,-,4.45,-,1.23,-,0.139,-,0.104,3.34,664.0,2.3,-2.0,-2.0,正常
2020-12-02 00:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.3,7.44,-,2.55,-,1.23,-,0.139,-,0.104,3.34,666.0,3.0,-2.0,-2.0,正常
2020-12-02 04:00:00,四川省,德阳市,绵远河,长江流域,八角,Ⅴ,13.2,7.43,-,2.48,-,1.48,-,0.282,-,0.134,3.54,676.0,2.9,-2.0,-2.0,正常
